YEAR,LOCATION,SITE,ADULTS,NEST_ATTMPT,TOT_EGGS,EGGS_BURIED,EGGS_EJECTED,EGGS_UNBURIED,HATCHED,FLEDGED,NEST FATE,Notes,,
2003,4-Way,CR,3,1,8,0,0,8,0,,DP,,,
2003,4-Way,CR,3,2,8,0,1,7,3,3,SUCC,,,
2004,4-Way,CR,4,1,NA,NA,NA,NA,NA,2,FAIL?,,,
2004,4-Way,CR,4,2,7,0,1,6,6,5,PSUC,,,
2005,4-Way,CR,,1,5,0,0,4,2,,PSUC,,,
2006,4-Way,CR,7,3,3,0,2,0,,,ABD,,,
2006,4-Way,CR,7,4,NA,NA,NA,1,NA,NA,ABD,,,
2006,4-Way,CR,7,1,8,0,1,7,0,,DP,,,
2006,4-Way,CR,7,5,14,4,3,7,0,,DP,,,
2006,4-Way,CR,7,2,NA,NA,NA,NA,NA,NA,DP,,,
2006,4-Way,CR,7,6,11,,,,7,,,,,
2007,4-Way,CR,5,,17,NA,NA,NA,8,,DP,,,
2011,4-Way,CR,7,,,,,,,,,,,
2012,4-Way,CR,9,1,1,0,1,,,,,,,
2013,4-Way,CR,9,1,5,,,,5,0,FAIL,,,
2015,4-Way,CR,4,,,,,,,,,,,
2021,4-Way,CR,8,1,8,0,0,7,0,,DP,,, 
2014,4-Way East,CR,3,1,14,4,,,8,,,,,
2011,4-Way North,CR,7,,,,,,,,,,,
2011,5 Silohs,CR,7,1,7,0,0,7,5,1,SUCC,,,
2012,5 Silohs,CR,10,1,11,0,2,7,7,1,DP,,,
2012,5 Silohs,CR,10,2,11,0,0,10,,,NNA,,,
2013,5 Silohs,CR,6,,5,,,,4,1,SUCC,,,
2021,5 Silohs,CR,7,1,19,,2,15,12,5,SUCC,,,
2011,Airstrip,CR,2,,,,,,,,,,,
2011,Airstrip,CR,5,,,,,,,,,,,
2012,Airstrip,CR,4,,,,,,,,,,,
2012,Airstrip,CR,5,1,5,0,4,0,,,ABD,,,
2013,Airstrip,CR,2,,,,,,,,,,,
2014,Airstrip,CR,5,1,5,,,5,1,,,,,
2015,Airstrip,CR,5,,,,,,,,,,,
2007,Bamboo Fence East,LC,,,9,NA,3,,5,,,,,
2002,Bimbo,LC,7,1,10,2,0,8,7,0,DP,,,
2003,Bimbo,LC,6,1,8,0,0,8,5,2,PSUC,,,
1998,Boardwalk,LC,8,1,36,26,1,9,,0,,"unclear how many were in the nest, hatched, or fledged?",,
2000,Boardwalk,LC,4,1,16,7,0,9,4,0,,,,
2002,Boardwalk,LC,4,1,4,0,0,4,0,,DP,,,
2003,Boardwalk,LC,4,NA,1,1,0,,,0,,,,
2015,Buye,CR,8,,,,,,,,,,,
2014,Cactus,CR,5,1,12,3,,,,,ABD,,,
